1 100 -5 5 10
0.0	-0.5
1.0	0.5
2.0	3.5
3.0	8.5
4.0	15.5
5.0	24.5
6.0	35.5
7.0	48.5
8.0	63.5
9.0	80.5
10.0	99.5
11.0	120.5
12.0	143.5
13.0	168.5
14.0	195.5
15.0	224.5
16.0	255.5
17.0	288.5
18.0	323.5
19.0	360.5
20.0	399.5
21.0	440.5
22.0	483.5
23.0	528.5
24.0	575.5
25.0	624.5
26.0	675.5
27.0	728.5
28.0	783.5
29.0	840.5
30.0	899.5
31.0	960.5
32.0	1023.5
33.0	1088.5
34.0	1155.5
35.0	1224.5
36.0	1295.5
37.0	1368.5
38.0	1443.5
39.0	1520.5
40.0	1599.5
41.0	1680.5
42.0	1763.5
43.0	1848.5
44.0	1935.5
45.0	2024.5
46.0	2115.5
47.0	2208.5
48.0	2303.5
49.0	2400.5
50.0	2499.5
51.0	2600.5
52.0	2703.5
53.0	2808.5
54.0	2915.5
55.0	3024.5
56.0	3135.5
57.0	3248.5
58.0	3363.5
59.0	3480.5
60.0	3599.5
61.0	3720.5
62.0	3843.5
63.0	3968.5
