1 100 -5 5 63
0.0 -0.5
1.0 0.0
2.0 1.5
3.0 4.0
4.0 7.5
5.0 12.0
6.0 17.5
7.0 24.0
8.0 31.5
9.0 40.0
10.0 49.5
11.0 60.0
12.0 71.5
13.0 84.0
14.0 97.5
15.0 112.0
16.0 127.5
17.0 144.0
18.0 161.5
19.0 180.0
20.0 199.5
21.0 220.0
22.0 241.5
23.0 264.0
24.0 287.5
25.0 312.0
26.0 337.5
27.0 364.0
28.0 391.5
29.0 420.0
30.0 449.5
31.0 480.0
32.0 511.5
33.0 544.0
34.0 577.5
35.0 612.0
36.0 647.5
37.0 684.0
38.0 721.5
39.0 760.0
40.0 799.5
41.0 840.0
42.0 881.5
43.0 924.0
44.0 967.5
45.0 1012.0
46.0 1057.5
47.0 1104.0
48.0 1151.5
49.0 1200.0
50.0 1249.5
51.0 1300.0
52.0 1351.5
53.0 1404.0
54.0 1457.5
55.0 1512.0
56.0 1567.5
57.0 1624.0
58.0 1681.5
59.0 1740.0
60.0 1799.5
61.0 1860.0
62.0 1921.5
63.0 1984.0
